run,estimated_period,peak_phase,peak_flux,peak_prominence,pulse_width_phase,pulse_duration,baseline,noise_std,signal_amplitude,snr,success
1,1.0,0.49,0.9341917307975574,0.9451285849587836,0.07834488227304404,0.07834488227304404,0.009360706792417255,0.04219627451402251,0.9248310240051401,21.917362010188924,True
2,1.0,0.49,0.934877809554544,0.9444052666645457,0.07856531962035343,0.07856531962035343,0.009836174315894008,0.04226537862086955,0.92504163523865,21.88651008042522,True
3,1.0,0.51,0.9438420747510137,0.9555014721178519,0.07852956588698903,0.07852956588698903,0.00967857872162034,0.04345187265258048,0.9341634960293933,21.498808658915557,True
4,1.0,0.51,0.9404099243362509,0.9501001136028279,0.07844315226328223,0.07844315226328223,0.008762324007468679,0.042238566583491836,0.9316476003287822,22.05679964274402,True
5,1.0,0.51,0.9428958606521376,0.9534437408893811,0.07781493809487476,0.07781493809487476,0.010488867121459912,0.04211602305133427,0.9324069935306777,22.13900852875372,True
6,1.0,0.51,0.9278887044374081,0.9417938757828637,0.07876759076592828,0.07876759076592828,0.009037675580967037,0.04307529822694055,0.9188510288564411,21.33127492270651,True
7,1.0,0.49,0.9414284582741884,0.9488874459022231,0.0781225425711872,0.0781225425711872,0.008531607752273584,0.04013070673256608,0.9328968505219148,23.246459543780443,True
8,1.0,0.49,0.9289660231198055,0.9404229769952018,0.07909724760743203,0.07909724760743203,0.008875831463741882,0.042354801069952666,0.9200901916560635,21.72339778285002,True
9,1.0,0.51,0.9298946592307932,0.9401398772806268,0.0783523616316708,0.0783523616316708,0.00822304617375377,0.04227710866311317,0.9216716130570394,21.800724841460102,True
10,1.0,0.49,0.9292564653112299,0.9426451425037836,0.07883696880769943,0.07883696880769943,0.010262883403104385,0.041129325388665754,0.9189935819081254,22.34399842992265,True
11,1.0,0.49,0.9347176674764092,0.9426421548772519,0.07849420509533546,0.07849420509533546,0.009217982413420377,0.04205379587944471,0.9254996850629887,22.007518363291425,True
12,1.0,0.51,0.9326247097276354,0.9417034896751632,0.07865710885261885,0.07865710885261885,0.010240742712913822,0.04106000068805933,0.9223839670147216,22.464294972185918,True
13,1.0,0.49,0.9315752309693003,0.9447548690486434,0.07888892326590514,0.07888892326590514,0.00900325404295379,0.04187083843738388,0.9225719769263465,22.033759326458558,True
14,1.0,0.51,0.9391274257974463,0.953748673302145,0.07844917540759633,0.07844917540759633,0.009319227788099328,0.04262648148813985,0.929808198009347,21.812923927771322,True
15,1.0,0.49,0.9360670011346706,0.9485118619726539,0.07847769277496718,0.07847769277496718,0.008356283514173056,0.0403473939971599,0.9277107176204975,22.993076521517107,True
16,1.0,0.51,0.9327815002955587,0.9416806971329321,0.0782757972072087,0.0782757972072087,0.010812443121818414,0.03955398909094673,0.9219690571737403,23.309129581187154,True
17,1.0,0.51,0.9339581751467488,0.9441387758912922,0.07851841187185984,0.07851841187185984,0.01028182750048609,0.04139464676750012,0.9236763476462627,22.31390819286957,True
